epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1932,0.43255,0.56016,0.79989,0.59695,0.4697,0.48374,0.42686,0.61729,0.7939,0.83397,1.771e-05,1.771e-05,1.771e-05
2,90.8266,0.4407,0.56908,0.81306,0.49741,0.4697,0.48869,0.4253,0.59774,0.74848,0.83547,3.62968e-05,3.62968e-05,3.62968e-05
3,134.451,0.42628,0.5728,0.805,0.49779,0.47003,0.48857,0.4126,0.70144,0.7333,0.84382,5.41185e-05,5.41185e-05,5.41185e-05
4,177.395,0.41289,0.53039,0.81213,0.49639,0.4697,0.48813,0.42832,0.61756,0.75385,0.83569,7.11752e-05,7.11752e-05,7.11752e-05
5,219.736,0.43028,0.5797,0.82157,0.4973,0.4697,0.49113,0.42222,0.64287,0.72536,0.83677,8.74668e-05,8.74668e-05,8.74668e-05
6,262.269,0.41057,0.54017,0.80201,0.49559,0.4697,0.49041,0.4291,0.62131,0.72504,0.83139,0.000102993,0.000102993,0.000102993
7,305.227,0.46231,0.56335,0.81011,0.49797,0.4697,0.47408,0.41941,0.58455,0.75299,0.82695,0.000117755,0.000117755,0.000117755
8,347.695,0.43074,0.53164,0.81182,0.49603,0.4697,0.47536,0.41753,0.65712,0.73506,0.83962,0.000131751,0.000131751,0.000131751
9,389.946,0.46301,0.57243,0.80856,0.49594,0.4697,0.48096,0.4258,0.63008,0.72667,0.83489,0.000135498,0.000135498,0.000135498
10,432.15,0.45055,0.59292,0.83169,0.49662,0.4697,0.48197,0.40449,0.70469,0.70012,0.83467,0.00013231,0.00013231,0.00013231
11,474.543,0.46467,0.57993,0.81199,0.49741,0.4697,0.49102,0.43288,0.63608,0.65253,0.83255,0.000129122,0.000129122,0.000129122
12,517.558,0.48424,0.57296,0.80969,0.49693,0.4697,0.48548,0.43915,0.59766,0.65523,0.82077,0.000125934,0.000125934,0.000125934
13,561.027,0.42425,0.52157,0.81079,0.49781,0.4697,0.48185,0.4168,0.65814,0.6649,0.8342,0.000122746,0.000122746,0.000122746
14,603.517,0.45397,0.57978,0.80986,0.49743,0.4697,0.48893,0.4322,0.58991,0.67162,0.81897,0.000119559,0.000119559,0.000119559
15,645.98,0.40119,0.53158,0.80902,0.49782,0.4697,0.49228,0.43455,0.58049,0.6607,0.82595,0.000116371,0.000116371,0.000116371
16,688.384,0.39937,0.51012,0.8059,0.49841,0.4699,0.49324,0.43232,0.61634,0.65332,0.8279,0.000113183,0.000113183,0.000113183
17,730.979,0.40299,0.51618,0.81784,0.49878,0.47014,0.49411,0.43929,0.59544,0.64563,0.82736,0.000109995,0.000109995,0.000109995
18,773.554,0.42125,0.60122,0.81963,0.49819,0.4697,0.49275,0.4444,0.55429,0.63956,0.82211,0.000106807,0.000106807,0.000106807
19,816.467,0.39019,0.5445,0.8065,0.49808,0.4697,0.4932,0.44665,0.54633,0.60004,0.82166,0.00010362,0.00010362,0.00010362
20,859.255,0.40171,0.51852,0.82448,0.49717,0.4697,0.49413,0.44225,0.57333,0.60029,0.81938,0.000100432,0.000100432,0.000100432
21,902.076,0.39411,0.52605,0.80527,0.49728,0.4697,0.49443,0.44964,0.54183,0.59667,0.8111,9.7244e-05,9.7244e-05,9.7244e-05
22,945.054,0.41041,0.52096,0.80688,0.48722,0.49697,0.49524,0.43665,0.5564,0.63075,0.8151,9.40562e-05,9.40562e-05,9.40562e-05
23,988.715,0.3966,0.51972,0.80625,0.49865,0.47006,0.49438,0.44725,0.57017,0.61242,0.81474,9.08684e-05,9.08684e-05,9.08684e-05
24,1031.43,0.45308,0.54797,0.81782,0.49857,0.4697,0.48271,0.43221,0.56028,0.62382,0.81119,8.76806e-05,8.76806e-05,8.76806e-05
25,1073.92,0.38558,0.50445,0.81452,0.49821,0.4697,0.48307,0.4374,0.5358,0.60178,0.80678,8.44928e-05,8.44928e-05,8.44928e-05
26,1116.48,0.38171,0.5285,0.79981,0.49827,0.47017,0.49319,0.44482,0.52442,0.60651,0.80784,8.1305e-05,8.1305e-05,8.1305e-05
27,1158.91,0.43467,0.5871,0.8251,0.49839,0.47021,0.49536,0.44589,0.55105,0.61119,0.80658,7.81172e-05,7.81172e-05,7.81172e-05
28,1200.36,0.37309,0.51464,0.79873,0.49815,0.4704,0.4946,0.44969,0.4767,0.5632,0.79977,7.49294e-05,7.49294e-05,7.49294e-05
29,1241.8,0.38888,0.53899,0.80471,0.49796,0.47066,0.49413,0.44657,0.52504,0.58175,0.80582,7.17416e-05,7.17416e-05,7.17416e-05
30,1282.95,0.37551,0.49693,0.80566,0.4981,0.47073,0.49406,0.44767,0.48311,0.56264,0.80068,6.85538e-05,6.85538e-05,6.85538e-05
31,1324.48,0.37254,0.4972,0.79772,0.49811,0.47056,0.4945,0.44555,0.51785,0.56089,0.80309,6.5366e-05,6.5366e-05,6.5366e-05
32,1366.06,0.40333,0.5422,0.7927,0.48411,0.49697,0.49502,0.44676,0.58191,0.5531,0.81262,6.21782e-05,6.21782e-05,6.21782e-05
33,1407.22,0.36722,0.50704,0.80805,0.49878,0.47016,0.49354,0.44911,0.50057,0.53684,0.8064,5.89904e-05,5.89904e-05,5.89904e-05
34,1448.73,0.34827,0.49542,0.79375,0.49769,0.4697,0.4934,0.45313,0.50162,0.56764,0.80195,5.58026e-05,5.58026e-05,5.58026e-05
35,1490.57,0.38502,0.55183,0.82277,0.4873,0.49384,0.49564,0.44242,0.56765,0.57062,0.81208,5.26148e-05,5.26148e-05,5.26148e-05
36,1532.02,0.375,0.53799,0.80949,0.48832,0.49697,0.49556,0.44495,0.5792,0.57361,0.81251,4.9427e-05,4.9427e-05,4.9427e-05
37,1573.43,0.39417,0.52339,0.81517,0.48406,0.49697,0.49464,0.44912,0.56117,0.57708,0.81353,4.62392e-05,4.62392e-05,4.62392e-05
38,1615.19,0.37533,0.49089,0.79917,0.49784,0.4697,0.49343,0.45456,0.49889,0.57815,0.80721,4.30514e-05,4.30514e-05,4.30514e-05
39,1657.13,0.3647,0.51467,0.80353,0.48233,0.49697,0.49526,0.45875,0.50312,0.57639,0.80373,3.98636e-05,3.98636e-05,3.98636e-05
40,1698.91,0.37061,0.54718,0.79892,0.4854,0.49697,0.49539,0.4466,0.51644,0.54925,0.80506,3.66758e-05,3.66758e-05,3.66758e-05
41,1740.19,0.47072,0.71115,0.82547,0.4972,0.4697,0.48514,0.4469,0.49211,0.58422,0.79751,3.3488e-05,3.3488e-05,3.3488e-05
42,1781.45,0.4839,0.71646,0.8179,0.49587,0.4697,0.4823,0.44476,0.5194,0.60773,0.79658,3.03002e-05,3.03002e-05,3.03002e-05
43,1822.9,0.47056,0.77875,0.81482,0.48346,0.49697,0.49386,0.44561,0.50204,0.5653,0.79851,2.71124e-05,2.71124e-05,2.71124e-05
44,1864.03,0.4414,0.65067,0.81325,0.48893,0.49697,0.49528,0.45413,0.51087,0.55568,0.7948,2.39246e-05,2.39246e-05,2.39246e-05
45,1907.42,0.43978,0.68889,0.8042,0.49056,0.49697,0.49532,0.45505,0.51215,0.56075,0.79629,2.07368e-05,2.07368e-05,2.07368e-05
46,1948.49,0.44129,0.6794,0.80108,0.48724,0.49697,0.49532,0.4506,0.4938,0.5631,0.79198,1.7549e-05,1.7549e-05,1.7549e-05
47,1989.55,0.42907,0.66802,0.79698,0.48695,0.49697,0.49455,0.44334,0.51858,0.57705,0.79312,1.43612e-05,1.43612e-05,1.43612e-05
48,2031.44,0.42187,0.64497,0.8183,0.49024,0.49697,0.4953,0.44815,0.51506,0.57168,0.79635,1.11734e-05,1.11734e-05,1.11734e-05
49,2072.68,0.43617,0.72551,0.81267,0.49313,0.49645,0.49526,0.45387,0.51311,0.56052,0.79482,7.9856e-06,7.9856e-06,7.9856e-06
50,2115.31,0.48371,0.67947,0.80742,0.49326,0.49647,0.49524,0.45404,0.51708,0.56684,0.79465,4.7978e-06,4.7978e-06,4.7978e-06
